id accelx accely accelz gyrox gyroy gyroz magnx magny magnz accel2x accel2y accel2z flightstatus errors ts rssi snr frequencyError
13743 1 2 16 -13 142 29 -183 101 587 121 -133 946 LAUNCHPAD GPS 1919227 -66 7 -7960
13744 -14 12 172 -1040 982 2893 -183 112 605 904 -389 10487 LIFTOFF GPS 1919327 -63 8 -7960
13745 -6 -2 152 341 926 -687 -196 101 592 603 90 9181 LIFTOFF GPS 1919427 -70 7 -7977
13746 7 1 157 -683 416 -2086 -194 105 588 -439 -9 8516 LIFTOFF GPS 1919528 -64 6 -7994
13747 -3 2 147 -47 -348 -358 -185 117 587 -53 -74 8627 LIFTOFF GPS 1919627 -66 8 -7927
13748 2 2 124 -72 -1672 -331 -198 99 589 -23 -35 8256 LIFTOFF GPS 1919728 -77 8 -7927
13749 -3 1 138 -101 -2255 -408 -221 106 589 -28 9 8229 LIFTOFF GPS 1919828 -59 8 -7927
13750 -6 3 124 19 -1753 -804 -233 110 586 -26 92 7801 LIFTOFF GPS 1919927 -69 7 -7893
13751 -1 0 134 83 -116 -905 -254 101 592 -81 128 7874 LIFTOFF GPS 1920027 -60 8 -7860
13752 -7 3 119 -86 1360 -1070 -246 105 586 -5 117 7935 LIFTOFF GPS 1920128 -56 8 -7843
13753 4 0 122 -579 944 -1336 -240 97 581 -44 -32 7429 LIFTOFF GPS 1920227 -53 6 -7809
13754 -5 0 120 -102 -380 -1608 -252 112 592 73 -21 7739 LIFTOFF GPS 1920327 -53 7 -7793
13755 -5 -3 124 378 -671 -2385 -261 118 581 5 73 7296 LIFTOFF GPS 1920428 -53 6 -7776
13756 -8 3 116 207 440 -2184 -272 122 587 -29 91 7139 LIFTOFF GPS 1920527 -53 8 -7759
13757 -5 -3 121 68 306 -3059 -272 117 587 -46 13 7213 LIFTOFF GPS 1920628 -54 8 -7742
13758 -5 -1 112 -111 -343 -3740 -284 121 576 -43 31 7165 LIFTOFF GPS 1920728 -55 8 -7725
13759 -1 3 99 229 -223 -3764 -294 134 586 -59 57 7134 LIFTOFF GPS 1920827 -55 8 -7709
13760 -3 0 114 322 810 -4148 -311 143 579 -20 123 6980 LIFTOFF GPS 1920927 -59 8 -7692
13761 -1 -2 122 12 665 -4254 -315 150 586 65 -95 6584 LIFTOFF GPS 1921027 -59 6 -7675
13762 0 4 87 316 -667 -4705 -311 170 584 84 72 6393 LIFTOFF GPS 1921127 -60 8 -7658
13763 -4 -2 92 284 597 -4973 -313 175 587 -103 92 6595 LIFTOFF GPS 1921228 -63 9 -7658
13764 -3 1 98 480 457 -5557 -320 184 578 102 10 6253 LIFTOFF GPS 1921327 -64 8 -7642
13765 -3 -1 122 914 -295 -5995 -322 205 578 -98 103 5951 LIFTOFF GPS 1921427 -64 7 -7625
13766 -5 -10 116 -394 569 -5756 -317 224 583 0 -40 6131 LIFTOFF GPS 1921527 -65 8 -7608
13767 2 -2 100 1525 -336 -5450 -317 256 573 -37 47 6319 LIFTOFF GPS 1921627 -65 8 -7591
13768 4 -2 101 1011 324 -5242 -306 278 582 -13 28 6312 LIFTOFF GPS 1921727 -66 8 -7591
13769 16 3 103 -44 -339 -7155 -290 294 567 -73 -25 5991 LIFTOFF GPS 1921827 -68 8 -7574
13770 -10 4 85 -1270 1111 -6557 -275 307 572 18 -115 6066 LIFTOFF GPS 1921927 -69 7 -7574
